Date,Price,Open,High,Low,Vol.,Change %
04/14/2022,13893.22,14225.47,14235.39,13884.82,223.06M,-2.28%
04/13/2022,14217.29,13939.61,14258.81,13919.48,189.62M,1.99%
04/12/2022,13940.24,14175.66,14264.74,13882.75,193.95M,-0.36%
04/11/2022,13990.20,14149.60,14187.67,13979.14,211.62M,-2.35%
04/08/2022,14327.26,14450.53,14490.19,14307.68,185.19M,-1.41%
04/07/2022,14531.81,14469.50,14624.24,14315.69,197.28M,0.23%
04/06/2022,14498.89,14600.30,14639.35,14395.40,240.71M,-2.17%
04/05/2022,14820.64,15109.27,15120.67,14782.57,209.49M,-2.24%
04/04/2022,15159.58,14903.38,15161.89,14884.57,206.00M,2.01%
04/01/2022,14861.21,14886.91,14925.93,14723.83,215.30M,0.15%
03/31/2022,14838.49,15074.24,15088.38,14835.16,282.14M,-1.55%
03/30/2022,15071.55,15177.15,15229.01,15010.34,206.58M,-1.10%
03/29/2022,15239.32,15142.93,15265.42,15039.61,220.57M,1.68%
03/28/2022,14987.40,14763.16,14989.08,14705.92,193.74M,1.58%
03/25/2022,14754.31,14766.90,14805.88,14577.59,186.56M,-0.08%
03/24/2022,14765.69,14529.72,14767.73,14440.67,221.27M,2.20%
03/23/2022,14447.55,14525.22,14681.33,14446.04,226.97M,-1.41%
03/22/2022,14654.33,14396.03,14688.97,14385.55,234.86M,1.94%
03/21/2022,14376.09,14377.15,14470.68,14190.53,246.17M,-0.31%
03/18/2022,14420.08,14061.29,14427.47,14014.43,566.58M,2.14%
03/17/2022,14118.60,13878.99,14125.67,13827.34,232.03M,1.16%
03/16/2022,13956.78,13633.12,13960.25,13475.09,333.55M,3.70%
03/15/2022,13458.56,13174.97,13488.18,13092.45,287.73M,3.16%
03/14/2022,13046.64,13248.09,13386.67,13020.40,273.08M,-1.92%
03/11/2022,13301.83,13701.80,13714.44,13285.19,238.44M,-2.13%
03/10/2022,13591.00,13577.84,13633.69,13399.46,234.12M,-1.10%
03/09/2022,13742.20,13610.48,13793.11,13504.48,261.57M,3.58%
03/08/2022,13267.60,13275.23,13663.27,13129.40,308.91M,-0.39%
03/07/2022,13319.38,13853.53,13879.10,13314.44,304.72M,-3.75%
03/04/2022,13837.83,13957.60,13992.97,13738.61,244.70M,-1.41%
03/03/2022,14035.21,14339.70,14342.56,13965.11,230.88M,-1.46%
03/02/2022,14243.69,14075.11,14292.72,13962.69,233.56M,1.70%
03/01/2022,14005.99,14197.66,14271.58,13906.92,262.94M,-1.63%
02/28/2022,14237.81,14058.61,14296.60,14009.36,309.03M,0.34%
02/25/2022,14189.16,13973.90,14193.00,13850.29,241.78M,1.53%
02/24/2022,13974.67,13065.44,13989.10,13065.44,377.16M,3.44%
02/23/2022,13509.43,14016.94,14035.93,13502.58,256.46M,-2.60%
02/22/2022,13870.53,13892.81,14109.26,13720.92,258.34M,-0.99%
02/18/2022,14009.54,14207.55,14225.72,13918.76,266.12M,-1.14%
02/17/2022,14171.74,14485.08,14497.46,14155.43,226.16M,-2.96%
02/16/2022,14603.64,14514.84,14647.79,14399.29,194.98M,-0.12%
02/15/2022,14620.82,14482.11,14624.53,14444.46,222.14M,2.47%
02/14/2022,14268.59,14233.40,14400.78,14119.73,249.43M,0.10%
02/11/2022,14253.84,14739.46,14769.64,14194.54,289.87M,-3.07%
02/10/2022,14705.64,14770.67,15037.26,14636.61,259.08M,-2.33%
02/09/2022,15056.96,14930.99,15057.90,14870.36,220.30M,2.10%
02/08/2022,14747.03,14533.25,14785.22,14485.78,211.61M,1.21%
02/07/2022,14571.25,14716.43,14813.86,14524.63,203.27M,-0.84%
02/04/2022,14694.35,14566.28,14832.05,14452.28,238.70M,1.33%
02/03/2022,14501.11,14693.85,14856.51,14471.19,310.21M,-4.22%
02/02/2022,15139.74,15173.03,15196.40,14960.85,297.73M,0.80%
02/01/2022,15019.68,14966.60,15034.42,14749.49,234.44M,0.60%
01/31/2022,14930.05,14505.07,14934.52,14442.88,311.40M,3.29%
01/28/2022,14454.61,14091.32,14457.78,13880.48,292.47M,3.22%
01/27/2022,14003.11,14346.46,14419.45,13972.88,291.78M,-1.20%
01/26/2022,14172.76,14492.52,14646.54,14006.40,310.91M,0.17%
01/25/2022,14149.12,14237.60,14410.43,14033.81,283.30M,-2.48%
01/24/2022,14509.58,14160.91,14532.57,13724.85,425.47M,0.49%
01/21/2022,14438.40,14728.66,14868.45,14432.64,388.09M,-2.75%
